track,arm,seed,emb_dim,norm_type,message_relu,runtime_s,gpu_mem_mb,node,git_sha,normalize_nodes,stage,readout,dim,auc,auc_ci_lo,auc_ci_hi,auprc,acc,bal_acc,sens,spec,ppv,npv,f1,mcc,brier,calib_slope,calib_intercept,retention_ratio,fc_recon_r2,frac_edges_r2_gt_0p5,site_f1,age_r2,sex_r2,motion_r2,meanfc_r2,totalfc_r2,auc_loso,fold_auc_sd
T1,B,20260819,32,none,False,109.2,7809.9,node11.cognition.gla.alces.network,3047cf7,False,S6,roi_flatten,2880,0.6302627232486951,0.5936597936258224,0.6642605455066465,0.5877913149822456,0.6174004192872118,0.6150829130789051,0.5648351648351648,0.6653306613226453,0.6061320754716981,0.6264150943396226,0.5847554038680318,0.2313534340792961,0.24098713678176392,0.5656257757945033,-0.04658060730621878,0.5251005353005402,0.6082035402415937,0.7905118601747815,0.4264495096336322,0.27203147603271727,0.029695576301055793,0.2635915006582097,0.9914670302748974,0.9964688227395869,0.611539562641767,0.04619132849984461
T1,B,20260820,32,none,False,25.2,,node11.cognition.gla.alces.network,3047cf7,True,S0,node_flat,8370,0.6314651280583145,0.597525728015584,0.665684625177847,0.590681555510143,0.6048218029350105,0.6004426435288159,0.5054945054945055,0.6953907815631263,0.6020942408376964,0.6066433566433567,0.5495818399044206,0.20477380738195428,0.23846771422097593,0.7923300393867044,-0.02424565284504209,0.529947535220645,0.18916729065340196,0.0,0.658205179053744,0.3070420308796047,0.03171101123658149,0.2407413547897882,0.44872208152512405,0.4434555634438505,0.6101389592371557,0.02105337576431553
T1,B,20260820,32,none,False,24.2,,node11.cognition.gla.alces.network,3047cf7,True,S1,node_flat,8370,0.7399942742628114,0.7090533179304922,0.7702034042502754,0.706380361349643,0.689727463312369,0.6878063819947587,0.6461538461538462,0.7294589178356713,0.6853146853146853,0.6933333333333334,0.665158371040724,0.37712733773029056,0.20735939254778657,0.7882194462479628,-0.009975253543334412,0.9674381031008371,0.7526597101649248,0.9907615480649189,0.6268020018453099,0.4920262969260256,0.06245236530577536,0.412502415568167,0.9834461179155897,0.9999843623168951,0.7301856460173093,0.024742399667451204
T1,B,20260820,32,none,False,109.3,7809.9,node11.cognition.gla.alces.network,3047cf7,True,S2,node_flat,2880,0.6357418132969235,0.5993299705632323,0.669457700827899,0.5922334761586832,0.6069182389937107,0.6032218282719285,0.5230769230769231,0.6833667334669339,0.601010101010101,0.6111111111111112,0.5593419506462984,0.20926318037537836,0.24019476497845374,0.4693458622845295,-0.050464943905659115,0.5471872309071698,-3.1864876433445746,0.00024968789013732833,0.3740044211347393,-4.406068428775935,-2.9986057812151197,-11.62807066970021,0.14213195431349557,0.1639130997065985,0.6215992424409258,0.05146912878010377
T1,B,20260820,32,none,False,109.3,7809.9,node11.cognition.gla.alces.network,3047cf7,True,S3,node_flat,2880,0.6193706093505693,0.5825578483926142,0.6534224091776645,0.5718018111643492,0.5849056603773585,0.5822766411944769,0.5252747252747253,0.6392785571142284,0.5704057279236276,0.5962616822429907,0.5469107551487414,0.16560697271003758,0.24109380255556664,0.6290450796362345,-0.03736527916600443,0.4811934627642103,0.580258512175896,0.7350811485642946,0.3792511565233488,0.22124011994797355,0.0322233725460358,0.24836738350971055,0.9820398936915165,0.9918756618207787,0.6146402695500892,0.05065725782915835
T1,B,20260820,32,none,False,109.3,7809.9,node11.cognition.gla.alces.network,3047cf7,True,S4,node_flat,2880,0.598544341430113,0.5636197119513753,0.6348260732158321,0.5669595093184028,0.5765199161425576,0.5750357858574291,0.5428571428571428,0.6072144288577155,0.5575620767494357,0.5929549902152642,0.5501113585746102,0.15029415427521817,0.3021744172386926,0.06509273422335186,-0.07764810717965466,0.39724093850701764,0.413549053662674,0.15181023720349562,0.27410263955748154,0.09345166301714547,-0.07099431942243695,0.162709040315817,0.8895709377611616,0.9105321786838172,0.602554559668788,0.02889154745720216
T1,B,20260820,32,none,False,109.3,7809.9,node11.cognition.gla.alces.network,3047cf7,True,S5,global_add_pool,32,0.5244511000022022,0.4864186096573801,0.5608426889096525,0.4884879750515,0.5157232704402516,0.510718139575855,0.4021978021978022,0.6192384769539078,0.4906166219839142,0.53184165232358,0.4420289855072464,0.021941327154963153,0.25740052115813533,0.10591579637354176,-0.0811249230007752,0.09856454233135359,0.3207082155702022,0.014731585518102372,0.12621793802652484,0.002396781956234717,-0.0024783616933803376,0.13452912981938148,0.8848763534180063,0.9108289465193445,0.5311678301658261,0.05487092816636517
T1,B,20260820,32,none,False,109.3,7809.9,node11.cognition.gla.alces.network,3047cf7,True,S6,roi_flatten,2880,0.598544341430113,0.5636197119513753,0.6348260732158321,0.5669595093184028,0.5765199161425576,0.5750357858574291,0.5428571428571428,0.6072144288577155,0.5575620767494357,0.5929549902152642,0.5501113585746102,0.15029415427521817,0.3021744172386926,0.06509273422335186,-0.07764810717965466,0.39724093850701764,0.413549053662674,0.15181023720349562,0.27410263955748154,0.09345166301714547,-0.07099431942243695,0.162709040315817,0.8895709377611616,0.9105321786838172,0.602554559668788,0.02889154745720216
T1,B,20260820,32,none,False,25.2,,node11.cognition.gla.alces.network,3047cf7,False,S0,node_flat,8370,0.6314651280583145,0.597525728015584,0.665684625177847,0.590681555510143,0.6048218029350105,0.6004426435288159,0.5054945054945055,0.6953907815631263,0.6020942408376964,0.6066433566433567,0.5495818399044206,0.20477380738195428,0.23846771422097593,0.7923300393867044,-0.02424565284504209,0.529947535220645,0.18916729065340196,0.0,0.658205179053744,0.3070420308796047,0.03171101123658149,0.2407413547897882,0.44872208152512405,0.4434555634438505,0.6101389592371557,0.02105337576431553
T1,B,20260820,32,none,False,24.2,,node11.cognition.gla.alces.network,3047cf7,False,S1,node_flat,8370,0.7399942742628114,0.7090533179304922,0.7702034042502754,0.706380361349643,0.689727463312369,0.6878063819947587,0.6461538461538462,0.7294589178356713,0.6853146853146853,0.6933333333333334,0.665158371040724,0.37712733773029056,0.20735939254778657,0.7882194462479628,-0.009975253543334412,0.9674381031008371,0.7526597101649248,0.9907615480649189,0.6268020018453099,0.4920262969260256,0.06245236530577536,0.412502415568167,0.9834461179155897,0.9999843623168951,0.7301856460173093,0.024742399667451204
