cond,seed,perm_auc,perm_bacc
M1D_only|linsvm,20260851,0.4910876698451848,0.5025061111233455
M1D_only|linsvm,20260852,0.5077803959567486,0.505996608601819
M1D_only|linsvm,20260853,0.5039837917593428,0.5073862009733753
M1D_only|linsvm,20260854,0.4848422118963201,0.4826928582439604
M1D_only|linsvm,20260855,0.5245612103327534,0.4965909841661344
M1D_only|linsvm,20260856,0.468396132925191,0.4746768261798322
M1D_only|linsvm,20260857,0.4472373318064701,0.4665000330330991
FC+M1D|linsvm,20260818,0.4660573895042833,0.4754189698077473
FC+M1D|linsvm,20260819,0.5215926358210927,0.5115880111872095
FC+M1D|linsvm,20260820,0.5201435838710388,0.5132682948314211
FC+M1D|linsvm,20260821,0.4668149485784756,0.4751613116342575
FC+M1D|linsvm,20260822,0.4923693540928009,0.4911603426633486
FC+M1D|linsvm,20260823,0.5006980994956947,0.5019885925697549
FC+M1D|linsvm,20260824,0.4918408245061552,0.4884119888127904
FC+M1D|linsvm,20260825,0.4774604153361668,0.4743531018080116
FC+M1D|linsvm,20260826,0.4840494175163514,0.4698936334206875
FC+M1D|linsvm,20260827,0.4960998920918761,0.4934550419520359
FC+M1D|linsvm,20260828,0.4981215177607963,0.4949745645136426
FC+M1D|linsvm,20260829,0.5259309828448104,0.5063511638661939
FC+M1D|linsvm,20260830,0.5123213459886806,0.5167918254090599
FC+M1D|linsvm,20260831,0.5352903609416635,0.5282014578607765
FC+M1D|linsvm,20260832,0.4912153978286243,0.4987887863639366
FC+M1D|linsvm,20260833,0.4411284106674887,0.455315025655707
FC+M1D|linsvm,20260834,0.4847981677640997,0.4941333215882314
FC+M1D|linsvm,20260835,0.5056838952630536,0.4997907903719527
FC+M1D|linsvm,20260836,0.5168667004338346,0.5028936994868858
FC+M1D|linsvm,20260837,0.4523948996894888,0.4885749521020062
FC+M1D|linsvm,20260838,0.5406813627254509,0.5367988724702152
FC+M1D|linsvm,20260839,0.503362769495034,0.4927437292166751
FC+M1D|linsvm,20260840,0.5028606663877204,0.5025699751150653
FC+M1D|linsvm,20260841,0.484652822127772,0.501083485652624
FC+M1D|linsvm,20260842,0.5055781893457244,0.5095509700720121
FC+M1D|linsvm,20260843,0.50808430046907,0.50754696205598
FC+M1D|linsvm,20260844,0.4716377810566188,0.4833711378801559
FC+M1D|linsvm,20260845,0.5129908167984321,0.507903719526966
FC+M1D|linsvm,20260846,0.5219626065317449,0.5203153559866986
FC+M1D|linsvm,20260847,0.4932282146711004,0.4920015855887599
FC+M1D|linsvm,20260848,0.540329009667687,0.5269395934726595
FC+M1D|linsvm,20260849,0.520976017970006,0.5046070162302627
FC+M1D|linsvm,20260850,0.5025523574621771,0.4954282190755136
FC+M1D|linsvm,20260851,0.5200246647140435,0.5130106366579312
FC+M1D|linsvm,20260852,0.5171089431610474,0.5110066286418992
FC+M1D|linsvm,20260853,0.4788434010878901,0.484566936069942
FC+M1D|linsvm,20260854,0.4956286198771169,0.5020524565614746
FC+M1D|linsvm,20260855,0.4985795767358894,0.51236318791429
FC+M1D|linsvm,20260856,0.5207029443502389,0.5211235658129446
FC+M1D|linsvm,20260857,0.4904049857957674,0.4847276971525468
FC_only|logreg,20260818,0.471853597304499,0.4742892378162919
FC_only|logreg,20260819,0.5263449976876831,0.5074192340725407
FC_only|logreg,20260820,0.5146953247153648,0.4957211125547798
FC_only|logreg,20260821,0.4587812988614592,0.4626880133894162
FC_only|logreg,20260822,0.4840009689709088,0.4867361095818009
FC_only|logreg,20260823,0.4855028738796273,0.5129820079719879
FC_only|logreg,20260824,0.4808077693849237,0.4761346869563302
FC_only|logreg,20260825,0.5012310334955625,0.4963024951000903
FC_only|logreg,20260826,0.4705498909907727,0.4739985465436367
FC_only|logreg,20260827,0.4969367306040653,0.4953643550837939
FC_only|logreg,20260828,0.4899733533000066,0.4948820718359796
FC_only|logreg,20260829,0.5151313616243476,0.4968838776454007
FC_only|logreg,20260830,0.4910788610187408,0.4908410227047501
FC_only|logreg,20260831,0.526243696183576,0.5195071461604528
FC_only|logreg,20260832,0.479200158558876,0.4825342993679666
FC_only|logreg,20260833,0.4544385474245194,0.4621066308441058
FC_only|logreg,20260834,0.4788786363936664,0.4859565284414984
FC_only|logreg,20260835,0.4904534343412098,0.492554339448127
FC_only|logreg,20260836,0.4898147944240129,0.5054174282631196
FC_only|logreg,20260837,0.4792177762117642,0.4841815499130129
FC_only|logreg,20260838,0.5376995749741241,0.5473408355171883
FC_only|logreg,20260839,0.5216058490607589,0.5166618952190094
FC_only|logreg,20260840,0.5143209495914907,0.5004690700081481
FC_only|logreg,20260841,0.4853134841110793,0.4895769561100222
FC_only|logreg,20260842,0.5023057103217424,0.4972098042238323
FC_only|logreg,20260843,0.5055209319738379,0.513171397740536
FC_only|logreg,20260844,0.4658063379506266,0.478107864079808
FC_only|logreg,20260845,0.5129379638397675,0.491193375762514
FC_only|logreg,20260846,0.4982888854632342,0.4946222114558787
FC_only|logreg,20260847,0.4893963751679182,0.4760025545596688
FC_only|logreg,20260848,0.5211565989121099,0.4906450263163689
FC_only|logreg,20260849,0.4996058050166266,0.5071924067916052
FC_only|logreg,20260850,0.508903521328371,0.512625250501002
FC_only|logreg,20260851,0.5009843863551278,0.4905150961263185
FC_only|logreg,20260852,0.5120526767821357,0.5165011341364046
FC_only|logreg,20260853,0.4770199740139619,0.470122662908234
FC_only|logreg,20260854,0.4864322050694796,0.5051906009821842
FC_only|logreg,20260855,0.5055605716928362,0.5065493624611861
FC_only|logreg,20260856,0.5416899733532999,0.5328238895373164
FC_only|logreg,20260857,0.5021339382060825,0.4928758616133366
FC_only|linsvm,20360818,0.4996278270827369,0.5084851020722764
