path,seed,stage,auc,bacc,fold_sd,ci_lo,ci_hi,n_feat
O,8,postBN1_toWGIN2,0.5985949921821665,0.5728379836596269,0.025346101124467304,0.561099619835557,0.635208568789883,2880
O,1,BN1,0.5954810720341783,0.5785901473276223,0.06040827096786533,0.5588994555726045,0.6278993272577252,2880
O,3,BN2_final_nodes_preNorm,0.6279724283732301,0.5943953841749433,0.05151053198016911,0.5899677324082115,0.65986965565984,2880
O,7,postBN1_toWGIN2,0.6262943469356295,0.5994384373141888,0.038240891050807815,0.5869920821793734,0.6602032671510129,2880
O,0,BN2_final_nodes_preNorm,0.6328921579422582,0.6041247329824484,0.05189835774257792,0.5978590061035702,0.6660903778509285,2880
O,6,WGIN1_preBN,0.6258583100266467,0.6034134202470876,0.044355890167708995,0.5870392833586621,0.6595277714835611,2880
O,6,BN1,0.6258583100266467,0.6034134202470876,0.044355890167708995,0.5870392833586621,0.6595277714835611,2880
O,0,WGIN2_preBN,0.6328921579422582,0.6041247329824484,0.05189835774257792,0.5978590061035702,0.6660903778509285,2880
O,1,BN2_final_nodes_preNorm,0.6268096632826092,0.60118258495012,0.051134847014583026,0.5886454141970183,0.658611105074246,2880
O,8,WGIN2_preBN,0.6277213768195732,0.5984034002070074,0.049888346784472355,0.5909018206094181,0.6605485672465549,2880
O,7,final_nodes_postNorm,0.5044110198418816,0.49963002928934797,0.024649681717532172,0.4663544956543134,0.5397779881600302,2880
O,5,postBN1_toWGIN2,0.6264617146380673,0.6029289347926623,0.030625729998352825,0.5873173639557442,0.6599709894135197,2880
O,6,postBN1_toWGIN2,0.5835407077892047,0.576845999691691,0.04918560575158025,0.5490626773851602,0.6196202615958672,2880
O,1,final_nodes_postNorm,0.5247153647955252,0.5223193640027307,0.030261493146289887,0.48516924886727586,0.5595628405801927,2880
O,7,BN2_final_nodes_preNorm,0.6309542161245568,0.5949767667202537,0.04901272585139656,0.5947753563245901,0.6626915556132063,2880
O,5,final_nodes_postNorm,0.49166464797727316,0.49698077473628577,0.019611926254896994,0.45519441003252514,0.5290424706352688,2880
O,4,WGIN2_preBN,0.6288929507366381,0.5916800634235504,0.04654895786996925,0.5919017059930908,0.6621586950140872,2880
O,7,WGIN1_preBN,0.6400317117751988,0.6121077319474113,0.04518208151953758,0.6024399301363513,0.6741121248378129,2880
O,7,WGIN2_preBN,0.6309542161245568,0.5949767667202537,0.04901272585139656,0.5947753563245901,0.6626915556132063,2880
O,9,postBN1_toWGIN2,0.5916624457706623,0.5780087647823119,0.03999606537680896,0.5539014423183178,0.6258048657226892,2880
O,4,final_nodes_postNorm,0.5006496509502522,0.49323041687771146,0.03567676078458746,0.46291256723513824,0.5359483912839024,2880
O,4,BN2_final_nodes_preNorm,0.6288929507366381,0.5916800634235504,0.04654895786996925,0.5919017059930908,0.6621586950140872,2880
O,7,BN1,0.6400317117751988,0.6121077319474113,0.04518208151953758,0.6024399301363513,0.6741121248378129,2880
O,8,WGIN1_preBN,0.6326146799092691,0.610718139575855,0.04798652092739009,0.5945807992367854,0.664923520036128,2880
O,1,WGIN2_preBN,0.6268096632826092,0.60118258495012,0.051134847014583026,0.5886454141970183,0.658611105074246,2880
O,9,WGIN2_preBN,0.6225065515646677,0.5846990684666036,0.04351386783283056,0.58350610003718,0.6551143593348077,2880
O,9,WGIN1_preBN,0.630698760157678,0.6067101235437908,0.04919115441432018,0.5926526406385273,0.664845448016663,2880
O,3,final_nodes_postNorm,0.5056927040894976,0.4964940870752494,0.019409928479907884,0.4656548317966526,0.541054760873254,2880
O,5,WGIN2_preBN,0.6322579224382832,0.6068708846263957,0.049951409660703064,0.59392859611203,0.6642637895177728,2880
O,5,BN2_final_nodes_preNorm,0.6322579224382832,0.6068708846263957,0.049951409660703064,0.59392859611203,0.6642637895177728,2880
O,9,final_nodes_postNorm,0.5325860512233258,0.5080666828161818,0.012240070756890363,0.4966674703083516,0.5681359353851971,2880
O,9,BN2_final_nodes_preNorm,0.6225065515646677,0.5846990684666036,0.04351386783283056,0.58350610003718,0.6551143593348077,2880
O,6,BN2_final_nodes_preNorm,0.6267700235636108,0.5937809685304676,0.04795296391647261,0.588589544963449,0.6611741477121378,2880
O,6,final_nodes_postNorm,0.516531965028959,0.5077429584443612,0.024636058156236876,0.47624389664023525,0.5534983133436684,2880
O,6,WGIN2_preBN,0.6267700235636108,0.5937809685304676,0.04795296391647261,0.588589544963449,0.6611741477121378,2880
O,8,BN2_final_nodes_preNorm,0.6277213768195732,0.5984034002070074,0.049888346784472355,0.5909018206094181,0.6605485672465549,2880
O,8,final_nodes_postNorm,0.49219317756391906,0.48621638882159923,0.02014821237763785,0.454853372955824,0.5295765494956489,2880
