cond,seed,perm_auc,perm_bacc,perm_acc,featperm_auc,featperm_bacc
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260844,0.5116606840053735,0.502087691867251,0.5062893081761006,0.5041159241560044,0.496822215860292
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260845,0.5306216829262921,0.5289502081085248,0.5377358490566038,0.423788235812284,0.4467242176661014
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260846,0.4866304036644718,0.5112973199145544,0.5125786163522013,0.5095862053777886,0.5050606707921337
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260847,0.4753286793366953,0.4839855535246317,0.4853249475890985,0.4821246889383161,0.5044814904534344
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260848,0.496549142240525,0.5018300336937611,0.5073375262054507,0.4890924706555969,0.4780395956748662
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260849,0.5086304477086041,0.4864432161025347,0.4895178197064989,0.5493536523596644,0.5268118654892202
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260850,0.4896782576141294,0.4805302913519347,0.4863731656184486,0.50045145235526,0.5008610627849105
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260851,0.518342178863221,0.5267149683983352,0.5283018867924528,0.5137792067651787,0.521161003325332
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260852,0.5074808958576493,0.52180184544914,0.5230607966457023,0.4865114845074765,0.4926798652249554
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260853,0.5225748199696095,0.5014732762227753,0.5052410901467506,0.4744962452377282,0.4798189786165738
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260854,0.5097755951463366,0.5102314519148187,0.5125786163522013,0.5710189609989209,0.5523464511440463
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260855,0.4946728622079324,0.4956550463564492,0.4989517819706499,0.4793983571538681,0.4797242837322998
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260856,0.5028562619744984,0.5076130282543108,0.5094339622641509,0.5249223722169614,0.5247153647955252
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,20260857,0.478838996674668,0.482113677905261,0.4874213836477987,0.4727785240811293,0.475388138915193
