source,band,norm,site_bacc,site_acc,site_bacc_chance,sex_bacc,r2_TR,r2_T,r2_age,r2_func_mean_fd,r2_func_dvars,r2_func_perc_fd
OLD,classical,A_RAW,0.640769748309909,0.6886792452830188,0.0526315789473684,0.5338754505043174,0.3804145671528089,0.4493657679926779,0.3126556296713033,0.482614720029985,0.137867170449208,0.3791004208782937
M1,slow5,D_SUBJ_BAND_Z,0.4468040590249944,0.519916142557652,0.0526315789473684,0.5067915845381146,0.3027681487502943,0.3801254927309931,0.2589812593931225,0.2005608007870402,0.2030890257470112,0.1540925901093407
M1,all3,A_RAW,0.5578049420100605,0.6341719077568134,0.0526315789473684,0.5427865702291902,0.3655801537978065,0.4412437534210465,0.3154321290156174,0.4752229896734588,0.182619651211395,0.3673133903947436
M2,slow4,C_SUBJ_BAND_MINMAX,0.7571608980987525,0.8176100628930818,0.0526315789473684,0.5177727561379925,0.4992711310646465,0.5764033608239576,0.4271298585969337,0.3575752804202592,0.2781399507475269,0.3055954174937996
M2,all3,F_TRAINFOLD_BAND_Z,0.7291511278181578,0.7830188679245284,0.0526315789473684,0.5517884093589437,0.4583215431830513,0.5131045503902789,0.3856094233657693,0.5446859894575725,0.2874036487385979,0.442872458081824
OLD,classical,B_SUBJ_JOINT_MINMAX,0.7092198067879047,0.7714884696016772,0.0526315789473684,0.513018234600381,0.4649072537176203,0.4783899303096393,0.3354001040988692,0.3290848589110593,0.219508552037522,0.2656846992436111
M1,slow5,F_TRAINFOLD_BAND_Z,0.4473440777298028,0.5283018867924528,0.0526315789473684,0.5152820961130858,0.2559567641953731,0.3309643992467318,0.2530662355199624,0.4222106410925609,0.1298242851886873,0.3252270894042575
M1,all3,B_SUBJ_JOINT_MINMAX,0.6273883495916975,0.70020964360587,0.0526315789473684,0.5477142833579375,0.4207588709392472,0.4938658885908757,0.300801944582504,0.2541260118060883,0.2396027790665582,0.2064699229328669
M2,slow4,D_SUBJ_BAND_Z,0.7075573032403527,0.7526205450733753,0.0526315789473684,0.5404979670606088,0.5152296452053632,0.5953056365221305,0.4313163024986529,0.3692268115412894,0.2802806416906733,0.319777120748873
OLD,slow5,A_RAW,0.5144803675366467,0.5733752620545073,0.0526315789473684,0.5158758958541232,0.2579402593126425,0.3631562440063242,0.2637684158346705,0.4220859880036623,0.1170140981745333,0.3314797125999998
OLD,classical,C_SUBJ_BAND_MINMAX,0.7036707880506907,0.7620545073375262,0.0526315789473684,0.5204613494099115,0.4604619648761969,0.4902828421838709,0.3360876927809285,0.3192234644961924,0.2239653158920078,0.263972454931098
M1,slow4,A_RAW,0.52730469465102,0.6058700209643606,0.0526315789473684,0.5322342539978392,0.4065492447076598,0.438116903735787,0.2850653579017912,0.4560004232768703,0.167295863011689,0.3529758049204309
M1,all3,C_SUBJ_BAND_MINMAX,0.6058890098483651,0.6823899371069182,0.0526315789473684,0.5381763750175254,0.408140031874889,0.4738911409854165,0.3272200186525914,0.2569647864114072,0.2348251012793275,0.2170528224826495
M2,slow4,F_TRAINFOLD_BAND_Z,0.7384080815553433,0.7966457023060797,0.0526315789473684,0.5510544069012726,0.4646102770388141,0.4803365884472662,0.3435974439072272,0.5198297130637516,0.255287232592773,0.414680776065385
OLD,slow5,B_SUBJ_JOINT_MINMAX,0.583474187509978,0.6540880503144654,0.0526315789473684,0.5092822445630212,0.3279824160828124,0.4018886176805539,0.2760232878387556,0.2405648380319228,0.1877868597574569,0.1759753878464234
OLD,classical,D_SUBJ_BAND_Z,0.6454937108236702,0.70020964360587,0.0526315789473684,0.533677517257305,0.4625955440241273,0.508717549197066,0.33849630184971,0.3391452932706748,0.2265854953039856,0.2683724233339569
M1,slow4,B_SUBJ_JOINT_MINMAX,0.6301284159492092,0.7148846960167715,0.0526315789473684,0.531640454256802,0.4340921540904547,0.448278467644054,0.2767396303697609,0.2313052946679695,0.2100946005026824,0.1914807644780193
M1,all3,D_SUBJ_BAND_Z,0.5423728997242298,0.6205450733752621,0.0526315789473684,0.5407495072286872,0.4163924080188064,0.4807095666296905,0.3309452871577355,0.2545163687265268,0.2432032723516879,0.2169147946496941
M2,classical,A_RAW,0.6804220827552652,0.7379454926624738,0.0526315789473684,0.5531203351669649,0.4572323387803654,0.4780977837394974,0.3356147465280543,0.5249013313654275,0.2700455061976901,0.4283618468456958
OLD,slow5,C_SUBJ_BAND_MINMAX,0.5919114162949418,0.6593291404612159,0.0526315789473684,0.5171500911317658,0.3337202927597743,0.3981156498655493,0.2768356752316336,0.2416117960180657,0.1853865343683899,0.1750527890916714
OLD,classical,F_TRAINFOLD_BAND_Z,0.6629995020024984,0.710691823899371,0.0526315789473684,0.5305641922261718,0.3745650566652794,0.4512734033035069,0.3134519514658862,0.4798943377356786,0.1436926165841405,0.3749967917179692
M1,slow4,C_SUBJ_BAND_MINMAX,0.6186800473530564,0.7012578616352201,0.0526315789473684,0.5337063825224944,0.424176961988124,0.4634699814995233,0.2957576889388394,0.2414662528817092,0.2150178094665578,0.2022987448683854
M1,all3,F_TRAINFOLD_BAND_Z,0.5509571763067248,0.6278825995807128,0.0526315789473684,0.5304198659002252,0.3868947913040964,0.4349202224632589,0.3091156795062385,0.4617860323420102,0.1937311910406043,0.3607206779927714
M2,classical,B_SUBJ_JOINT_MINMAX,0.7630455542435178,0.8270440251572327,0.0526315789473684,0.5161315596315142,0.5136514158831536,0.5727470825412808,0.414853178608871,0.3510342953676707,0.2776269782121605,0.3096405803229605
OLD,slow5,D_SUBJ_BAND_Z,0.5301275313926351,0.589098532494759,0.0526315789473684,0.5125646375759775,0.3389937268832166,0.4181554106296042,0.2743752559766182,0.2450036062802266,0.1864034221898567,0.1893162370896774
OLD,all3,A_RAW,0.6406876707112333,0.69916142557652,0.0526315789473684,0.5306177991472376,0.337864380942881,0.441042431160822,0.3145910645751657,0.4823244393210246,0.1402874485630538,0.3782504662109399
M1,slow4,D_SUBJ_BAND_Z,0.5585583872803511,0.639412997903564,0.0526315789473684,0.5533471336791667,0.434062971121554,0.4668702944202594,0.3025081167122532,0.2393533203282812,0.2181799134781737,0.2108681769151532
M2,slow5,A_RAW,0.6240407473140631,0.6802935010482181,0.0526315789473684,0.5144326325946574,0.3854576651720569,0.4178965211443225,0.333080633173394,0.5072982372143338,0.2261178584462562,0.4107319380922301
M2,classical,C_SUBJ_BAND_MINMAX,0.7609959049867907,0.8249475890985325,0.0526315789473684,0.5157068278723,0.5032691937062705,0.5781653959440864,0.4250708269204727,0.3617938092961625,0.2836272076584849,0.3170774471911316
OLD,slow5,F_TRAINFOLD_BAND_Z,0.5279341344239944,0.5953878406708596,0.0526315789473684,0.5216778141571755,0.251733165698366,0.3592001073718324,0.2654176569878352,0.4222537754530855,0.1162212898185774,0.3314577160929803
OLD,all3,B_SUBJ_JOINT_MINMAX,0.6768778221733984,0.7379454926624738,0.0526315789473684,0.5251581404171443,0.4381493889736965,0.5095816546567158,0.3270361480992055,0.3229563045913765,0.2244827294437488,0.2632435619333957
M1,slow4,F_TRAINFOLD_BAND_Z,0.5810130162755704,0.6519916142557652,0.0526315789473684,0.5322342539978392,0.4065256325175977,0.4338701768073226,0.2827108065092006,0.443167744708808,0.1760271552408944,0.3434288078746016
M2,slow5,B_SUBJ_JOINT_MINMAX,0.7351536236322813,0.7945492662473794,0.0526315789473684,0.4962640099626401,0.4553429901503774,0.5274897069829978,0.3948004827971446,0.328603752099268,0.2654118805815183,0.2739559037463771
M2,classical,D_SUBJ_BAND_Z,0.7037881017202711,0.7589098532494759,0.0526315789473684,0.5415453638260497,0.5185264381134397,0.5955187747439772,0.4312836724421668,0.3732466581947199,0.2867905723900501,0.3250311549144538
OLD,slow4,A_RAW,0.6002542234569415,0.6540880503144654,0.0526315789473684,0.5272529339480261,0.3537767701788276,0.4384095347463475,0.3027261166845075,0.4657092829611251,0.1344242475174811,0.3660118706287389
OLD,all3,C_SUBJ_BAND_MINMAX,0.6808448684220275,0.7389937106918238,0.0526315789473684,0.5315538584612339,0.4386037721120699,0.4925781633833375,0.3350565188935772,0.3134108480083567,0.2254905990182315,0.2663513287315814
M1,classical,A_RAW,0.5421988730893662,0.6205450733752621,0.0526315789473684,0.5361681772822116,0.415117299868349,0.4449040434041834,0.3075006989729995,0.4789317072969881,0.1622474987656361,0.3718096478382717
M2,slow5,C_SUBJ_BAND_MINMAX,0.7337913215400315,0.7924528301886793,0.0526315789473684,0.4983299382283325,0.4598523384299281,0.5208481530173218,0.3992521752388731,0.3232970319144317,0.2671619600388345,0.2765844545693887
M2,classical,F_TRAINFOLD_BAND_Z,0.7337988781723782,0.7935010482180294,0.0526315789473684,0.5469225503698878,0.4628752051925873,0.4812630402385206,0.3450927309930278,0.534667540812604,0.2570808156448854,0.4293036869316635
OLD,slow4,B_SUBJ_JOINT_MINMAX,0.6896655081015273,0.7557651991614256,0.0526315789473684,0.5295745259911094,0.4190129663922395,0.4609544836047211,0.316176656764245,0.3052953296565284,0.2023501619760987,0.2510783909875895
OLD,all3,D_SUBJ_BAND_Z,0.6233416278353822,0.6876310272536688,0.0526315789473684,0.5481926220382176,0.4428656050334781,0.5165367197574302,0.3382690372120647,0.3350848443298803,0.2310646029690237,0.2729596188227764
M1,classical,B_SUBJ_JOINT_MINMAX,0.6457702914027414,0.7274633123689728,0.0526315789473684,0.53701764080064,0.435117514690671,0.4636769019018301,0.29796557935662,0.2683525486781841,0.2288933307495813,0.2186667285770113
M2,slow5,D_SUBJ_BAND_Z,0.6688362769447714,0.7253668763102725,0.0526315789473684,0.5088575128038069,0.4703733633380503,0.5302964104948142,0.4065389483745621,0.3339346772863168,0.2751894391615447,0.2821560952763818
M2,all3,A_RAW,0.7264430045893588,0.7704402515723271,0.0526315789473684,0.5807114050786373,0.4536758570765248,0.5077402518728191,0.3845785766512876,0.5369811005322278,0.3017780515823369,0.4414932815328405
OLD,slow4,C_SUBJ_BAND_MINMAX,0.6979440257305268,0.7557651991614256,0.0526315789473684,0.5237726076880572,0.4280762634970791,0.4742851943841959,0.3273630226422453,0.3123334605902285,0.2054712161662426,0.2598930839326572
OLD,all3,F_TRAINFOLD_BAND_Z,0.6340127520225282,0.689727463312369,0.0526315789473684,0.5341558559375851,0.3570532294860549,0.4583762026993074,0.3133192521275466,0.4844819295427274,0.1312416841485715,0.3747558595508076
