source,band,norm,clf,pooled_auc,pooled_bacc,pooled_acc,pooled_sens,pooled_spec,pooled_f1,pooled_prec,pooled_tn,pooled_fp,pooled_fn,pooled_tp,auc_mean,auc_sd,bacc_mean,bacc_sd,acc_mean,sens_mean,spec_mean,f1_mean,prec_mean,per_fold_auc,best_C,secs
OLD,slow5,B_SUBJ_JOINT_MINMAX,logreg,0.6243035521592635,0.5959809729348807,0.5985324947589099,0.5406593406593406,0.6513026052104208,0.5622857142857143,0.5857142857142857,325,174,209,246,0.6224007104007103,0.0387912224204586,0.595955932955933,0.0203809532502755,0.598517497933315,0.5406593406593407,0.6512525252525253,0.5618521307263118,0.5858434303406799,"[0.561758, 0.665934, 0.614505, 0.640879, 0.628927]","[1, 1, 1, 1, 1]",0.5
OLD,classical,B_SUBJ_JOINT_MINMAX,logreg,0.603175581933097,0.5899050848950649,0.5932914046121593,0.5164835164835165,0.6633266533066132,0.5477855477855478,0.5831265508684863,331,168,220,235,0.6085017205017204,0.0349429774426392,0.5899488289488289,0.0283624106497854,0.5932984293193717,0.5164835164835165,0.6634141414141415,0.5479384142032839,0.5874752419610184,"[0.568132, 0.662857, 0.593736, 0.615275, 0.602509]","[1000, 1, 1, 1000, 1]",0.6
M1,slow5,C_SUBJ_BAND_MINMAX,linsvm,0.6333193860247969,0.5928472329273933,0.5974842767295597,0.4923076923076923,0.6933867735470942,0.5384615384615384,0.5941644562334217,346,153,231,224,0.644095682095682,0.0291923065374876,0.5928104118104118,0.0294862141130428,0.5974924221548636,0.4923076923076923,0.6933131313131314,0.5370736094893971,0.6016596002079766,"[0.604176, 0.663407, 0.643187, 0.679451, 0.630259]","[0.1, 0.01, 0.01, 0.01, 0.1]",1.5
M1,classical,C_SUBJ_BAND_MINMAX,linsvm,0.6388204981391354,0.6093946134026295,0.6121593291404612,0.5494505494505495,0.6693386773547094,0.5747126436781609,0.6024096385542169,334,165,205,250,0.6421212121212121,0.015340401376719,0.6093616383616384,0.0091534017822261,0.6121465968586388,0.5494505494505495,0.6692727272727272,0.5723189523706034,0.605532998884488,"[0.634945, 0.669121, 0.63967, 0.634835, 0.632035]","[0.1, 0.1, 0.01, 0.1, 0.1]",0.5
M2,slow5,C_SUBJ_BAND_MINMAX,linsvm,0.6320112752978485,0.6056134246515008,0.6090146750524109,0.5318681318681319,0.6793587174348698,0.5647607934655776,0.6019900497512438,339,160,213,242,0.6333610833610833,0.0338648626436095,0.6055704295704295,0.037012805581288,0.608972168641499,0.531868131868132,0.6792727272727273,0.5650348876342159,0.6063131313131314,"[0.623187, 0.678462, 0.655934, 0.616593, 0.59263]","[0.1, 0.1, 0.1, 0.1, 0.1]",0.5
M2,classical,C_SUBJ_BAND_MINMAX,linsvm,0.6134070338479156,0.5920390231011474,0.5964360587002097,0.4967032967032967,0.687374749498998,0.5400238948626045,0.5916230366492147,343,156,229,226,0.6161942501942501,0.0217776410792263,0.59196780996781,0.0299704510316043,0.596379167814825,0.4967032967032967,0.6872323232323232,0.5397744063286263,0.5939515460030166,"[0.61022, 0.632967, 0.626374, 0.630769, 0.580642]","[0.1, 0.1, 0.01, 0.1, 0.1]",0.5
OLD,slow5,C_SUBJ_BAND_MINMAX,linsvm,0.6243828315972605,0.6062917042876963,0.6090146750524109,0.5472527472527473,0.6653306613226453,0.5717566016073479,0.5985576923076923,332,167,206,249,0.6231100011100011,0.0378865418001238,0.6062728382728382,0.0203558840184201,0.608999724441995,0.5472527472527473,0.6652929292929293,0.5714468207113927,0.5991395497493059,"[0.566264, 0.666044, 0.614835, 0.647473, 0.620935]","[0.1, 0.1, 0.1, 0.1, 0.1]",0.4
OLD,classical,C_SUBJ_BAND_MINMAX,linsvm,0.6106498711709132,0.5894844634323593,0.5922431865828093,0.5296703296703297,0.6492985971943888,0.5533869115958668,0.5793269230769231,324,175,214,241,0.6162521922521923,0.0375092550069532,0.5895220335220335,0.0343250297878982,0.5922568200606227,0.5296703296703297,0.6493737373737374,0.5538851007779553,0.5826433508483883,"[0.561758, 0.667033, 0.61044, 0.621429, 0.620602]","[1000, 0.1, 0.1, 1, 0.1]",0.4
M1,slow5,C_SUBJ_BAND_MINMAX,logreg,0.6352617322557202,0.5965315245876368,0.60062893081761,0.5076923076923077,0.685370741482966,0.5480427046263345,0.595360824742268,342,157,224,231,0.6446415806415806,0.0304486006558457,0.5964926184926185,0.0347100493046142,0.6006337834114082,0.5076923076923077,0.6852929292929294,0.5472016256522052,0.6019822304296623,"[0.602088, 0.675385, 0.646374, 0.670879, 0.628483]","[1, 1, 0.1, 0.1, 1]",1.7
M1,classical,C_SUBJ_BAND_MINMAX,logreg,0.6373758506023035,0.603091898081878,0.6058700209643606,0.5428571428571428,0.6633266533066132,0.5678160919540229,0.5951807228915663,331,168,208,247,0.6402710622710622,0.0157151523451014,0.6030649350649351,0.0075881003148322,0.6058638743455498,0.5428571428571429,0.6632727272727272,0.5646738894662685,0.5979056343198659,"[0.633626, 0.667582, 0.639451, 0.630659, 0.630037]","[1, 1, 0.1, 1, 1]",0.5
