subject,ablation,Q_across_node_var,Q_mean_cos,Q_eff_rank,Q_frac_var_sv1,Q_mean_pair_dist,Q_mean_norm,W1_across_node_var,W1_mean_cos,W1_eff_rank,W1_frac_var_sv1,W1_mean_pair_dist,W1_mean_norm,q_norm
CMU_a_0050656,3_pos_only,7.887740173512189,0.9988454240316575,1.3285810573066907,0.9933402909378868,5.406744461820434,17.897905439782974,0.3016858824141142,0.9953905077593923,1.5751822891344986,0.9881668194024353,3.475825012313753,10.90538945736782,17.897905439782974
CMU_a_0050656,4_all_ones,0.021212009833790683,0.9999976667751281,1.791554864166471,0.9301656271478299,0.2930505889534683,43.6532514129398,0.0008263057364250044,0.9999959574623767,1.89883448174557,0.8894199525310944,0.19079836176962106,27.0081467330075,43.6532514129398
CMU_a_0050656,5_offdiag_only,9.422893282093296,0.9507771194749387,1.2993755193800294,0.994567127859992,5.5874969842372675,17.012855064391488,0.3490175782416888,0.9348869365402823,1.9433005756932544,0.9878098944792485,3.5591627773177175,10.387960097781152,17.012855064391488
CMU_a_0050659,1_raw_signed,3.4073007981721495,0.9998797773124694,1.3184974792166089,0.9956445550123606,3.688472044358038,20.436366805851595,0.12534004376565047,0.9995918171502678,1.438291941697656,0.9926675941898955,2.3172558120542814,12.371972797820838,20.436366805851595
CMU_a_0050659,2_abs,3.258311851638308,0.999877220385818,1.3265155724952697,0.9953669997276507,3.6162083273100327,20.479929439893688,0.11988437154950943,0.9996061819522178,1.4469970083942834,0.9922213590414664,2.27222356425833,12.39902318029737,20.479929439893688
CMU_a_0050659,3_pos_only,3.330771314753449,0.9998785623900929,1.3224683820534504,0.9955083980638791,3.652114302048421,20.458147504641342,0.1225374613376629,0.99959985510079,1.4424854320630758,0.9924487133917455,2.294597724686875,12.385495346289764,20.458147504641342
CMU_a_0050659,4_all_ones,0.021143217624478086,0.9999974140532484,1.8784501844908117,0.9254399861580971,0.28942745035326595,45.57084246399563,0.0007879210724159076,0.9999953722270296,2.016647162769947,0.872595945154134,0.18619399676925913,28.05867604888841,45.57084246399563
CMU_a_0050659,5_offdiag_only,3.4239739183865012,0.9999265013826586,1.2533167343578764,0.9975410340997303,3.6920623882077614,19.935126179265833,0.1256701262110989,0.9996500220446154,1.3579959035102187,0.9958778164213717,2.3146492124777867,12.059305150160734,19.935126179265833
CMU_a_0050660,1_raw_signed,5.562163659236184,0.998988706077627,1.420063421008252,0.9889547191500834,4.666500530707066,17.176675638463582,0.20235857646258698,0.9969814063810838,1.8212320665693986,0.9813452938026841,2.924573314848528,10.319672593585409,17.176675638463582
CMU_a_0050660,2_abs,3.7946436604034504,0.9994134863610907,1.4534078226565876,0.9863640502520888,3.847037775233615,17.97298852338112,0.13868962109479877,0.9984353360208493,1.79607605413715,0.9770384224828187,2.418306002462648,10.806530908695892,17.97298852338112
CMU_a_0050660,3_pos_only,4.58461715139,0.9992583048648364,1.4355172988075144,0.9878039027073037,4.2388520668761,17.574638531692976,0.16718863862457112,0.9979102663532965,1.792774590344414,0.9794525580467595,2.6603409260971556,10.562410426293843,17.574638531692976
