unit,fold,fold_protocol,arm,arch,spec,seed,repr_dim,movement_max,clip_rate,best_epoch,svm_tr_enc,native_auc,native_width,native_evr,pca32_auc,pca32_width,pca32_evr,pca64_auc,pca64_width,pca64_evr
s17b_R1p_signed_fused_s1,loso0,loso,R1p,ROWMLP,fcrow_split,20260819,2880,0.6954973340034485,0.06587898317221626,97,0.546875,0.4375,2880,,0.53125,32,0.4796152018006258,0.40625,64,0.5980042245955748
s17b_R1p_signed_fused_s1,loso1,loso,R1p,ROWMLP,fcrow_split,20260819,2880,0.4699063301086426,0.049441786283891544,49,0.8080808080808081,0.5454545454545454,2880,,0.7777777777777777,32,0.4971951946985306,0.6565656565656566,64,0.6152924563254936
s17b_R1p_signed_fused_s1,loso2,loso,R1p,ROWMLP,fcrow_split,20260819,2880,0.7013347744941711,0.06972846128059002,107,0.6541353383458647,0.5827067669172932,2880,,0.5601503759398496,32,0.47705700182282,0.4868421052631579,64,0.5972885700465475
s17b_R1p_signed_fused_s1,site0,site,R1p,ROWMLP,fcrow_split,20260819,2880,0.30439671874046326,0.045588235294117645,35,0.8221978021978023,0.6027472527472527,2880,,0.5860439560439561,32,0.4827806512224603,0.5227472527472528,64,0.610370903978074
s17b_R1p_signed_fused_s1,site1,site,R1p,ROWMLP,fcrow_split,20260819,2880,0.3723149001598358,0.05570652173913043,42,0.708498023715415,0.6027667984189724,2880,,0.5016469038208169,32,0.5174314965778151,0.5522617479139218,64,0.6407193916047964
s17b_R1p_signed_fused_s1,site2,site,R1p,ROWMLP,fcrow_split,20260819,2880,0.5262975096702576,0.06140350877192982,64,0.7154150197628458,0.5958498023715415,2880,,0.5732323232323232,32,0.5053233262919814,0.5796003513394817,64,0.631141485489891
s17b_R1p_signed_fused_s2,lab0,lab,R1p,ROWMLP,fcrow_split,20260820,2880,0.22468960285186768,0.0546875,26,0.7318681318681318,0.5996703296703297,2880,,0.6414285714285715,32,0.41656449968782566,0.6531868131868133,64,0.5543384413926735
s17b_R1p_signed_fused_s2,lab1,lab,R1p,ROWMLP,fcrow_split,20260820,2880,0.5195118188858032,0.05773809523809524,55,0.794065934065934,0.6868131868131868,2880,,0.6654945054945054,32,0.45705358412607067,0.705054945054945,64,0.5851004537951012
s17b_R1p_signed_fused_s2,lab2,lab,R1p,ROWMLP,fcrow_split,20260820,2880,0.5310587882995605,0.060141509433962265,56,0.7156043956043956,0.625934065934066,2880,,0.5838461538461538,32,0.4274267230369173,0.5983516483516483,64,0.5627775967338328
s17b_R1p_signed_fused_s2,loso0,loso,R1p,ROWMLP,fcrow_split,20260820,2880,0.4868214428424835,0.0592797783933518,45,0.546875,0.359375,2880,,0.21874999999999997,32,0.42634838677229686,0.4322916666666667,64,0.5529008948689079
s17b_R1p_signed_fused_s2,loso1,loso,R1p,ROWMLP,fcrow_split,20260820,2880,0.49027419090270996,0.043859649122807015,46,0.8080808080808081,0.6666666666666666,2880,,0.7272727272727273,32,0.4194065369851298,0.808080808080808,64,0.5467500885726954
s17b_R1p_signed_fused_s2,loso2,loso,R1p,ROWMLP,fcrow_split,20260820,2880,0.4573625326156616,0.06281833616298811,43,0.6541353383458647,0.5977443609022557,2880,,0.5244360902255638,32,0.4165954307411165,0.5300751879699248,64,0.5494288608849469
s17b_R1p_signed_fused_s2,site0,site,R1p,ROWMLP,fcrow_split,20260820,2880,0.24807748198509216,0.05,28,0.8221978021978023,0.6382417582417583,2880,,0.6324175824175824,32,0.40463994218050736,0.667912087912088,64,0.5420098579005712
s17b_R1p_signed_fused_s2,site1,site,R1p,ROWMLP,fcrow_split,20260820,2880,0.6256861090660095,0.07136194029850747,84,0.708498023715415,0.5831137461572244,2880,,0.5385375494071146,32,0.4666826521197164,0.5276679841897234,64,0.5905486572193406
s17b_R1p_signed_fused_s2,site2,site,R1p,ROWMLP,fcrow_split,20260820,2880,0.5617392063140869,0.06085526315789474,64,0.7154150197628458,0.6354852876592009,2880,,0.6315327184892402,32,0.45359513508398286,0.6099033816425121,64,0.5820396434354946
s17b_R1s_signed_fused_s0,lab0,lab,R1s,ROWMLP,fcrow_signed,20260818,2880,0.27959614992141724,0.0625,30,0.7318681318681318,0.6793406593406593,2880,,0.6564835164835164,32,0.5412786159357149,0.6482417582417582,64,0.6533819584120791
s17b_R1s_signed_fused_s0,lab1,lab,R1s,ROWMLP,fcrow_signed,20260818,2880,0.5258347392082214,0.06377551020408163,48,0.794065934065934,0.7193406593406594,2880,,0.7132967032967032,32,0.5808335472662547,0.6653846153846155,64,0.6865141174335885
s17b_R1s_signed_fused_s0,lab2,lab,R1s,ROWMLP,fcrow_signed,20260818,2880,0.3145290017127991,0.057926829268292686,32,0.7156043956043956,0.7092307692307692,2880,,0.6813186813186813,32,0.529068637661039,0.696043956043956,64,0.6446290902648995
s17b_R1s_signed_fused_s0,loso0,loso,R1s,ROWMLP,fcrow_signed,20260818,2880,0.5963096618652344,0.05784262636789995,51,0.546875,0.328125,2880,,0.3125,32,0.5447804935313034,0.30729166666666663,64,0.6550718017530927
s17b_R1s_signed_fused_s0,loso1,loso,R1s,ROWMLP,fcrow_signed,20260818,2880,0.2232368290424347,0.05789473684210526,23,0.8080808080808081,0.6565656565656566,2880,,0.9494949494949495,32,0.5220585804608138,0.7474747474747475,64,0.6348226216494675
s17b_R1s_signed_fused_s0,loso2,loso,R1s,ROWMLP,fcrow_signed,20260818,2880,0.39536252617836,0.07441016333938294,37,0.6541353383458647,0.5545112781954887,2880,,0.5827067669172932,32,0.5333785996240712,0.5469924812030075,64,0.6441066165460039
s17b_R1s_signed_fused_s0,site0,site,R1s,ROWMLP,fcrow_signed,20260818,2880,0.37317144870758057,0.053052325581395346,36,0.8221978021978023,0.6328571428571428,2880,,0.6601098901098902,32,0.5374097807995873,0.6424175824175824,64,0.6518930293445189
s17b_R1s_signed_fused_s0,site1,site,R1s,ROWMLP,fcrow_signed,20260818,2880,0.5160634517669678,0.06760204081632654,48,0.708498023715415,0.5774044795783926,2880,,0.5461133069828721,32,0.5768860237239886,0.5334870443566095,64,0.6842283776221867
