unit,fold,fold_protocol,arm,arch,E,mode,spec,seed,D_in,status,verdict,head,probe_honest,svm_tr_enc,svm_tr_full,fused_auc,alpha_selected,delta_vs_svm_tr_enc,delta_vs_svm_tr_full,movement_max,clip_rate,best_epoch,total_steps,n_params,repr_dim_used,n_tr_enc,n_tr_probe,n_te,policy_hash,wall_s,node
s17_R1a_signed_fused_s2,lab0,lab,R1a,ROWMLP,signed,fused,fcrow_abs,20260820,90,OK,OVERFIT,0.6909890109890109,0.6947252747252747,0.7318681318681318,0.749010989010989,0.7318681318681318,1.0,0.0,-0.017142857142857126,0.4250423014163971,0.05631868131868132,41,1456,13249,2880,610,153,191,798ed7790c1ddabc,45.6,node06.cognition.gla.alces.network
s17_R1a_signed_fused_s2,lab1,lab,R1a,ROWMLP,signed,fused,fcrow_abs,20260820,90,OK,OVERFIT,0.7115384615384616,0.628901098901099,0.794065934065934,0.7860439560439563,0.793956043956044,0.95,-0.00010989010988993186,0.00791208791208775,0.525066077709198,0.05739795918367347,48,1568,13249,2880,610,153,191,798ed7790c1ddabc,43.3,node06.cognition.gla.alces.network
s17_R1a_signed_fused_s2,lab2,lab,R1a,ROWMLP,signed,fused,fcrow_abs,20260820,90,OK,OVERFIT,0.6741758241758241,0.61989010989011,0.7156043956043956,0.7224175824175824,0.7248351648351649,0.6,0.009230769230769265,0.002417582417582498,0.5671539306640625,0.06067961165048544,53,1648,13249,2880,610,153,191,798ed7790c1ddabc,46.3,node06.cognition.gla.alces.network
s17_R1a_signed_fused_s2,loso0,loso,R1a,ROWMLP,signed,fused,fcrow_abs,20260820,90,OK,OVERFIT,0.5833333333333333,0.3697916666666667,0.546875,0.5885416666666667,0.546875,1.0,0.0,-0.04166666666666674,0.6810469031333923,0.04876871076774505,59,2071,13249,2880,740,186,28,798ed7790c1ddabc,54.6,node06.cognition.gla.alces.network
s17_R1a_signed_fused_s2,loso1,loso,R1a,ROWMLP,signed,fused,fcrow_abs,20260820,90,OK,OVERFIT,0.7373737373737373,0.6262626262626263,0.8080808080808081,0.8181818181818181,0.8080808080808081,1.0,0.0,-0.010101010101010055,0.7535474896430969,0.05307760927743087,68,2242,13249,2880,747,187,20,798ed7790c1ddabc,60.1,node03.cognition.gla.alces.network
s17_R1a_signed_fused_s2,loso2,loso,R1a,ROWMLP,signed,fused,fcrow_abs,20260820,90,OK,OVERFIT,0.5939849624060151,0.6109022556390977,0.6541353383458647,0.6936090225563909,0.6541353383458647,1.0,0.0,-0.039473684210526216,0.6937330365180969,0.06520726595249185,63,2147,13249,2880,725,182,47,798ed7790c1ddabc,55.8,node03.cognition.gla.alces.network
s17_R1a_signed_fused_s2,site0,site,R1a,ROWMLP,signed,fused,fcrow_abs,20260820,90,OK,OVERFIT,0.7853846153846153,0.6569230769230769,0.8221978021978023,0.8201098901098901,0.8221978021978023,1.0,0.0,0.002087912087912147,0.6477854251861572,0.05866228070175439,64,1824,13249,2880,610,153,191,798ed7790c1ddabc,39.9,node03.cognition.gla.alces.network
s17_R1a_signed_fused_s2,site1,site,R1a,ROWMLP,signed,fused,fcrow_abs,20260820,90,OK,OVERFIT,0.6515151515151515,0.54655248133509,0.708498023715415,0.6982872200263504,0.6735836627140974,0.6,-0.03491436100131762,-0.024703557312252933,0.46269768476486206,0.0538563829787234,44,1504,13249,2880,610,153,191,798ed7790c1ddabc,46.0,node01.cognition.gla.alces.network
s17_R1a_signed_fused_s2,site2,site,R1a,ROWMLP,signed,fused,fcrow_abs,20260820,90,OK,OVERFIT,0.6519543258673693,0.624505928853755,0.7154150197628458,0.7221124286341678,0.7154150197628458,1.0,0.0,-0.006697408871321975,0.6232761740684509,0.05625,60,1760,13249,2880,610,153,191,798ed7790c1ddabc,46.5,node05.cognition.gla.alces.network
s17_R1p_signed_fused_s0,lab0,lab,R1p,ROWMLP,signed,fused,fcrow_split,20260818,180,OK,OVERFIT,0.6350549450549451,0.6481318681318681,0.7318681318681318,0.749010989010989,0.7384615384615385,0.55,0.006593406593406681,-0.010549450549450445,0.41156408190727234,0.054036458333333336,46,1536,19009,2880,610,153,191,798ed7790c1ddabc,48.2,node02.cognition.gla.alces.network
