seed,path,branch,n,h_auc,h_bacc,h_fold_sd,h_loso_auc,h_loso_bacc,h_loso_fold_sd,z_auc,z_bacc,z_fold_sd,z_loso_auc,z_loso_bacc,z_loso_fold_sd
8,O,B,954,0.5166068400537338,0.5128190446827721,0.03449269052237932,0.5249179678037394,0.5129159417736572,0.07846867791975692,0.4678896254046555,0.4850910612433659,0.03135017547612695,0.44761611134356627,0.4634367636371644,0.09244003027874395
8,O,C,954,0.4776542095179369,0.48175912264088616,0.050211291253186255,,,,0.4802792397982778,0.4759408927745601,0.06459861827329055,,,
8,O,D,954,0.5209231650113414,0.5021559602721928,0.023839886404121758,,,,0.5076526679733093,0.4922019863903631,0.009287222132073891,,,
8,P,B,954,0.5089960140060341,0.4903917725561012,0.015311711881178953,0.5043889977757713,0.5031909973793741,0.11465599405469964,0.5041863947675571,0.5060010130150411,0.04177477349258138,0.49018476513466497,0.5133717985421392,0.09520928935859363
8,P,C,954,0.4628421678521879,0.458036953026933,0.04229616293473948,,,,0.44974344292981566,0.4700940342222908,0.028284243470521307,,,
8,P,D,954,0.5391133916184017,0.5204805214825254,0.03863112126997245,,,,0.4984870840582264,0.5007663679006364,0.026606726148278078,,,
9,C,B,954,0.509727146600894,0.5085864035763835,0.028858483840146856,0.5088550727829284,0.4938492369354093,0.08928153589894958,0.5139994274262811,0.5077781937501377,0.035055478317832456,0.5322160805126737,0.5271708251668171,0.11678611807718321
9,C,C,954,0.48777555110220444,0.48524962011935957,0.05150012909998293,,,,0.4609570789931512,0.4679248607104319,0.06387099720840488,,,
9,C,D,954,0.524248496993988,0.5191283666233566,0.024690556941089115,,,,0.5074632782047612,0.4980180140500782,0.01400474317558939,,,
9,O,B,954,0.509727146600894,0.5085864035763835,0.028858483840146856,0.5088550727829284,0.4938492369354093,0.08928153589894958,0.5139994274262811,0.5077781937501377,0.035055478317832456,0.5322160805126737,0.5271708251668171,0.11678611807718321
9,O,C,954,0.48777555110220444,0.48524962011935957,0.05150012909998293,,,,0.4609570789931512,0.4679248607104319,0.06387099720840488,,,
9,O,D,954,0.524248496993988,0.5191283666233566,0.024690556941089115,,,,0.5074632782047612,0.4980180140500782,0.01400474317558939,,,
9,P,B,954,0.4735757228743201,0.47911207029443503,0.020925640956512916,0.4555440551432536,0.4763350877579335,0.10500868286119681,0.47256711224647097,0.46912506331344006,0.036105656289459796,0.46437049924023877,0.4845779471029972,0.08416920300626152
9,P,C,954,0.5001607610826048,0.49494813803431037,0.059322428885266856,,,,0.5110088308485101,0.5113699927327182,0.04081389209127932,,,
9,P,D,954,0.4939285163734061,0.4908740558039155,0.027841872135885248,,,,0.5046180272633178,0.4971767711246669,0.048985996952361575,,,
10,C,B,954,0.47846462155079394,0.49759739258737257,0.0066357749320327085,0.48031007069083226,0.4913607434649519,0.09539721513985087,0.4752802307912528,0.492459644563853,0.016063805251705508,0.4723777224779229,0.468123059305424,0.10858018730868402
10,C,C,954,0.4917042876962716,0.4859917637472748,0.048741500889051305,,,,0.4800678279636195,0.48557334449118017,0.030284444011938715,,,
10,C,D,954,0.540144024312361,0.5234248717214649,0.051809307685707975,,,,0.5140610892113898,0.5052258362879606,0.03242013338709877,,,
10,O,B,954,0.47846462155079394,0.49759739258737257,0.0066357749320327085,0.48031007069083226,0.4913607434649519,0.09539721513985087,0.4752802307912528,0.492459644563853,0.016063805251705508,0.4723777224779229,0.468123059305424,0.10858018730868402
10,O,C,954,0.4917042876962716,0.4859917637472748,0.048741500889051305,,,,0.4800678279636195,0.48557334449118017,0.030284444011938715,,,
10,O,D,954,0.540144024312361,0.5234248717214649,0.051809307685707975,,,,0.5140610892113898,0.5052258362879606,0.03242013338709877,,,
10,P,B,954,0.4640005285295867,0.4733907375189941,0.05010337357714795,0.4586844017705741,0.47513708736153626,0.08764947368048308,0.49198176572926067,0.48728886344116806,0.04554933786332284,0.4953423330176837,0.4974058006122134,0.0927196574312634
10,P,C,954,0.49434693562950077,0.4866414146975269,0.05149253565599995,,,,0.4989231209672092,0.49834173842189877,0.058581353593652775,,,
10,P,D,954,0.5111982206170583,0.5051597700896298,0.039817454026552034,,,,0.5150036336409082,0.5156973287233808,0.06357479304710123,,,
11,C,B,954,0.5219758197714109,0.5186372745490981,0.03515060617475742,0.4921183025391442,0.4993107093307494,0.08332612281952062,0.48356052764870394,0.49342861547270367,0.014006408438103888,0.48526943997885885,0.49666145477768725,0.08107058454036374
11,C,C,954,0.4914091920103944,0.49546345438129,0.04727648939682909,,,,0.48863881609372595,0.48134070338479157,0.051787482458626494,,,
11,C,D,954,0.495641833116783,0.502543548635733,0.02544540067871174,,,,0.5046576669823163,0.5179589949129028,0.04106504605679504,,,
11,O,B,954,0.5219758197714109,0.5186372745490981,0.03515060617475742,0.4921183025391442,0.4993107093307494,0.08332612281952062,0.48356052764870394,0.49342861547270367,0.014006408438103888,0.48526943997885885,0.49666145477768725,0.08107058454036374
11,O,C,954,0.4914091920103944,0.49546345438129,0.04727648939682909,,,,0.48863881609372595,0.48134070338479157,0.051787482458626494,,,
11,O,D,954,0.495641833116783,0.502543548635733,0.02544540067871174,,,,0.5046576669823163,0.5179589949129028,0.04106504605679504,,,
11,P,B,954,0.5083089255433945,0.5194498887885661,0.04025869735474278,0.49944724614063285,0.5060692814199829,0.10496804878959157,0.5196458851769473,0.524523772820366,0.026274714979115828,0.508172388733511,0.5232310775396948,0.10799983077487746
11,P,C,954,0.4981743707194609,0.4880310070690832,0.07774820402193251,,,,0.5028738796273866,0.4906163976304257,0.06901748922161283,,,
11,P,D,954,0.5040322403047854,0.5141469752692198,0.03533843967384821,,,,0.5049263361888613,0.5009579598757955,0.046869681449255164,,,
12,C,B,954,0.5025259309828447,0.5093615803034641,0.031116627097541663,0.4873615362593318,0.4847981677640996,0.0697854068477221,0.49125063313440065,0.49058556673787135,0.024608490498513613,0.47984760730251713,0.4653108414631461,0.11167630406421876
12,C,C,954,0.4864850580281442,0.4845052742848334,0.05153523103658882,,,,0.4902772578123279,0.4876412164989319,0.05681477743033992,,,
12,C,D,954,0.5214472901847651,0.5277213768195732,0.03744681262457862,,,,0.5128278535092162,0.5251998502499504,0.04538860684633288,,,
12,O,B,954,0.5025259309828447,0.5093615803034641,0.031116627097541663,0.4873615362593318,0.4847981677640996,0.0697854068477221,0.49125063313440065,0.49058556673787135,0.024608490498513613,0.47984760730251713,0.4653108414631461,0.11167630406421876
12,O,C,954,0.4864850580281442,0.4845052742848334,0.05153523103658882,,,,0.4902772578123279,0.4876412164989319,0.05681477743033992,,,
12,O,D,954,0.5214472901847651,0.5277213768195732,0.03744681262457862,,,,0.5128278535092162,0.5251998502499504,0.04538860684633288,,,
12,P,B,954,0.514439868748486,0.5088462639564844,0.03718285487869821,0.4916558391508292,0.5028342399083883,0.11590280509772934,0.49224603052258364,0.4787553128234491,0.029789761021793284,0.4936113986214187,0.4851549252350856,0.09120442603311656
12,P,C,954,0.4925587438613491,0.4987931907771587,0.06415030032230183,,,,0.46721134576846,0.47093307494109093,0.05941374599854506,,,
12,P,D,954,0.5246448941839723,0.5060957078993151,0.04046600130430316,,,,0.4930608469686626,0.4975643594882072,0.01789730028978322,,,
13,C,B,954,0.5170604946156048,0.5285934506375388,0.030647688874912035,0.5202096500693695,0.5256204717126561,0.11254582441751529,0.5207293708295712,0.5212887313087714,0.031059502088207958,0.5242573058204321,0.5298222819264904,0.11806164842328451
13,C,C,954,0.44877006760774296,0.45522253297804405,0.04141703691340437,,,,0.45220550992094083,0.45564315444074965,0.05079504814478494,,,
13,C,D,954,0.528793851439142,0.5223237684159527,0.027829396576030955,,,,0.5035962033958026,0.4982118082318483,0.032014571085146985,,,
13,O,B,954,0.5170604946156048,0.5285934506375388,0.030647688874912035,0.5202096500693695,0.5256204717126561,0.11254582441751529,0.5207293708295712,0.5212887313087714,0.031059502088207958,0.5242573058204321,0.5298222819264904,0.11806164842328451
13,O,C,954,0.44877006760774296,0.45522253297804405,0.04141703691340437,,,,0.45220550992094083,0.45564315444074965,0.05079504814478494,,,
13,O,D,954,0.528793851439142,0.5223237684159527,0.027829396576030955,,,,0.5035962033958026,0.4982118082318483,0.032014571085146985,,,
13,P,B,954,0.5017331366028761,0.4885485256226739,0.05393252983931212,0.4578827985641613,0.4643088374551301,0.10441635120548691,0.4803453059966086,0.4880970732674139,0.03707008160837198,0.44705234645114406,0.4764958488405382,0.09888015984444914
13,P,C,954,0.4843885573344492,0.48172829174833187,0.04645806893358943,,,,0.4477130084344513,0.4497940936818692,0.03607736507761575,,,
13,P,D,954,0.5043405492303288,0.49895395185976343,0.04268739577351509,,,,0.5043053139245524,0.4940077958114031,0.05513515005139766,,,
14,C,B,954,0.5179105463674601,0.5120108348565262,0.014050122979685383,0.49874254002510515,0.4874804554163271,0.11146484759615005,0.5091457640555836,0.5057763879407167,0.025525692562561552,0.4736109581800964,0.4672487832808474,0.09939220905361788
14,C,C,954,0.4657843158845163,0.46149221519963,0.05472945575435716,,,,0.4470303243850338,0.46052544649739036,0.04847468186588994,,,
14,C,D,954,0.5138144420709551,0.5065515646677972,0.03351855987476101,,,,0.5113303530137197,0.5025127177431786,0.029254158449213467,,,
14,O,B,954,0.5179105463674601,0.5120108348565262,0.014050122979685383,0.49874254002510515,0.4874804554163271,0.11146484759615005,0.5091457640555836,0.5057763879407167,0.025525692562561552,0.4736109581800964,0.4672487832808474,0.09939220905361788
