file_id,T,tr,min_valid_vox,OLD_max_abs,OLD_max_rel,OLD_mean_abs,M1_max_abs,M1_max_rel,M1_mean_abs,M2_max_abs,M2_max_rel,M2_mean_abs
NYU_0051091,176,2.0,62,3.552713678800501e-15,4.309529899817129e-16,3.7500866609560843e-16,3.552713678800501e-15,4.522724685713782e-16,4.2928623618839387e-16,7.105427357601002e-15,4.968621309362925e-16,8.355456244586364e-16
NYU_0051130,176,2.0,62,3.552713678800501e-15,4.751792078656393e-16,4.0872655054718727e-16,3.552713678800501e-15,4.4267399053470863e-16,4.440892098500626e-16,7.105427357601002e-15,4.1883281111562477e-16,1.105288700071267e-15
Olin_0050121,206,1.5,62,3.552713678800501e-15,4.242029343421636e-16,3.6514001698782925e-16,3.552713678800501e-15,3.806084367884199e-16,3.684295666904223e-16,7.105427357601002e-15,5.287805160300435e-16,9.013366185104975e-16
Pitt_0050022,196,1.5,62,3.552713678800501e-15,4.240753873248473e-16,2.7878933729476153e-16,3.552713678800501e-15,3.850620791727081e-16,2.384923534379966e-16,5.329070518200751e-15,4.072285267520429e-16,5.394861512252612e-16
Pitt_0050055,196,1.5,62,2.6645352591003757e-15,5.460438399546319e-16,2.0559685641206603e-16,3.552713678800501e-15,4.241008012067918e-16,2.680983007613341e-16,5.329070518200751e-15,4.204255036836794e-16,6.611994902212044e-16
SBL_0051583,196,2.200000047683716,62,3.552713678800501e-15,5.253261902086421e-16,3.1332960917198864e-16,5.329070518200751e-15,4.2699828129018926e-16,3.2648780798236084e-16,7.105427357601002e-15,4.78499978056257e-16,6.875158878419487e-16
SDSU_0050215,176,2.0,56,3.552713678800501e-15,4.36796217828456e-16,3.1456319031046104e-16,3.552713678800501e-15,3.9780210986581007e-16,3.4704749362356744e-16,7.105427357601002e-15,3.661649778354708e-16,6.908054375445419e-16
Stanford_0051191,236,2.0,62,3.552713678800501e-15,4.3822799522400133e-16,3.8816686490598067e-16,3.552713678800501e-15,4.3684851299817075e-16,4.67116057768214e-16,7.105427357601002e-15,4.5419170549288895e-16,8.947575191053113e-16
Trinity_0050261,146,2.0,61,2.6645352591003757e-15,4.3597588863471507e-16,2.915363423923096e-16,2.6645352591003757e-15,4.461461682334397e-16,3.3471168223884347e-16,5.329070518200751e-15,4.3705624742730157e-16,6.184353440874946e-16
UCLA_1_0051212,116,3.0,62,2.6645352591003757e-15,4.665896182936201e-16,2.590520390792032e-16,3.552713678800501e-15,4.620588735123281e-16,3.1332960917198864e-16,5.329070518200751e-15,4.679007675760723e-16,7.039636363549141e-16
UCLA_1_0051255,116,3.0,62,3.552713678800501e-15,6.301888677784147e-16,3.3635645709014e-16,2.6645352591003757e-15,4.3971484176747137e-16,3.1744154630022993e-16,3.552713678800501e-15,3.696120763367414e-16,5.296175021174821e-16
UCLA_2_0051302,116,3.0,62,2.6645352591003757e-15,4.3676001392067634e-16,2.8290127442300287e-16,2.6645352591003757e-15,4.3806557347096195e-16,3.4211316906967787e-16,7.105427357601002e-15,4.156672033631707e-16,6.019875955745294e-16
UM_1_0050292,296,2.0,62,3.552713678800501e-15,4.2127083327077374e-16,4.3093101103969037e-16,3.552713678800501e-15,4.75013577943415e-16,4.506683092552487e-16,7.105427357601002e-15,4.0532871344800896e-16,9.473903143468002e-16
UM_1_0050332,296,2.0,62,3.552713678800501e-15,6.342922384995302e-16,4.1119371282413205e-16,3.552713678800501e-15,4.2379428388285014e-16,3.733638912443119e-16,1.0658141036401503e-14,5.818396403903648e-16,9.473903143468002e-16
UM_1_0050364,296,2.0,62,5.329070518200751e-15,4.736393982358736e-16,5.082354290506272e-16,3.552713678800501e-15,4.073648018402348e-16,4.2106236193191124e-16,7.105427357601002e-15,4.0689989025199297e-16,8.355456244586364e-16
UM_2_0050408,296,2.0,62,1.7763568394002505e-15,4.398732118669212e-16,2.7755575615628914e-16,3.552713678800501e-15,4.5086503062622695e-16,3.4540271877227093e-16,5.329070518200751e-15,5.690843050048373e-16,6.842263381393557e-16
USM_0050447,236,2.0,62,3.552713678800501e-15,4.846933938152058e-16,3.4211316906967787e-16,2.6645352591003757e-15,4.329708031309112e-16,3.569161427313466e-16,8.881784197001252e-15,6.74870595346296e-16,1.0329186066142197e-15
USM_0050503,236,2.0,62,1.7763568394002505e-15,4.835545933350803e-16,2.9523708580772683e-16,3.552713678800501e-15,4.4331337339073074e-16,3.0757289719245075e-16,7.105427357601002e-15,4.2796730802970986e-16,8.092292268378919e-16
Yale_0050560,196,2.0,62,3.552713678800501e-15,5.315256688720275e-16,2.705654630382789e-16,1.7763568394002505e-15,3.7616339722816357e-16,2.7878933729476153e-16,3.552713678800501e-15,3.897747682332463e-16,5.246831775635925e-16
Yale_0050615,196,2.0,62,2.6645352591003757e-15,5.396122151576587e-16,3.79942990649498e-16,2.6645352591003757e-15,6.369574303925955e-16,3.8405492777773934e-16,1.0658141036401503e-14,6.119912502103304e-16,8.190978759456711e-16
