cond,seed,perm_auc,perm_bacc,perm_acc,featperm_auc,featperm_bacc
M1|all3|D_SUBJ_BAND_Z|linsvm,20560839,0.5006012024048097,0.5038957034949019,0.5052410901467506,0.4699861260983505,0.4891563346473166
M1|all3|D_SUBJ_BAND_Z|linsvm,20560840,0.49612631857120837,0.4885110881102865,0.49056603773584906,0.5033275341892576,0.5042524609658878
M1|all3|D_SUBJ_BAND_Z|linsvm,20560841,0.5315730361822546,0.5325331982646612,0.5345911949685535,0.5109779999559558,0.5103283490057038
M1|all3|D_SUBJ_BAND_Z|linsvm,20560842,0.4700521922966812,0.48117333568235365,0.48218029350104824,0.5036754828337995,0.4969477416371204
M1|all3|D_SUBJ_BAND_Z|linsvm,20560843,0.5007377392146931,0.5002444449338237,0.5031446540880503,0.5004734744213702,0.49090268448985885
M1|all3|D_SUBJ_BAND_Z|linsvm,20560844,0.5310136757030545,0.5196701094496686,0.5230607966457023,0.5389812592217402,0.538512189213592
M1|all3|D_SUBJ_BAND_Z|linsvm,20560845,0.5045167257592108,0.5075161311634258,0.5094339622641509,0.48087383558325447,0.489739919399238
M1|all3|D_SUBJ_BAND_Z|linsvm,20560846,0.5166949283181748,0.5205113523750798,0.5251572327044025,0.4707084498667665,0.4750974476425378
M1|all3|D_SUBJ_BAND_Z|linsvm,20560847,0.5117091325508158,0.5177299654253562,0.519916142557652,0.48318174811160786,0.4809156775088639
M1|all3|D_SUBJ_BAND_Z|linsvm,20560848,0.5196502895901693,0.4957519434473342,0.4989517819706499,0.4989671650994296,0.5051883987755731
M1|all3|D_SUBJ_BAND_Z|linsvm,20560849,0.468484221189632,0.47852408112929157,0.4811320754716981,0.507811226849303,0.5069017155189499
M1|all3|D_SUBJ_BAND_Z|linsvm,20560850,0.5181087449624524,0.5130106366579312,0.5146750524109015,0.4968090026206259,0.4986280252813319
M1|all3|D_SUBJ_BAND_Z|linsvm,20560851,0.5000110110330551,0.4918077914069898,0.4937106918238994,0.5033187253628136,0.4908388204981391
M1|all3|D_SUBJ_BAND_Z|linsvm,20560852,0.522887533308375,0.5070955097007201,0.5083857442348009,0.49236054526635686,0.49963002928934797
M1|all3|D_SUBJ_BAND_Z|linsvm,20560853,0.48718535973044985,0.4867008742760246,0.48846960167714887,0.48556013125151404,0.4855050760862384
M1|all3|D_SUBJ_BAND_Z|linsvm,20560854,0.47205179589949126,0.5012794820410051,0.5052410901467506,0.5134180448809708,0.5151115417648484
M1|all3|D_SUBJ_BAND_Z|linsvm,20560855,0.5021559602721928,0.5084851020722764,0.5094339622641509,0.5165407738554032,0.5090026206258671
M1|all3|D_SUBJ_BAND_Z|linsvm,20560856,0.48925102953159066,0.4925191041423506,0.4947589098532495,0.5067145279570129,0.5138188464841771
M1|all3|D_SUBJ_BAND_Z|linsvm,20560857,0.4686515888920699,0.48039815895527316,0.48218029350104824,0.5637781056618731,0.5360236957431346
M1|all3|D_SUBJ_BAND_Z|linsvm,20560858,0.491369552291396,0.4855050760862384,0.48742138364779874,0.5262304829439098,0.507806822436081
M1|all3|D_SUBJ_BAND_Z|linsvm,20560859,0.517254288797375,0.5122024268316854,0.5136268343815513,0.49421920764606136,0.4979805765376908
M1|all3|D_SUBJ_BAND_Z|linsvm,20560860,0.5224118566803937,0.5098438635512784,0.5125786163522013,0.4986984958928847,0.5131075337488163
M1|all3|D_SUBJ_BAND_Z|linsvm,20560861,0.4765002532537603,0.48369486225197644,0.48532494758909855,0.4831905569380519,0.4650465766698232
M1|all3|D_SUBJ_BAND_Z|linsvm,20560862,0.5290316897531326,0.525519170208549,0.5272536687631028,0.5154088396573366,0.5220925367217952
M1|all3|D_SUBJ_BAND_Z|linsvm,20560863,0.4974960910832654,0.494910700521923,0.4968553459119497,0.49917857693408796,0.5012772798343941
M1|all3|D_SUBJ_BAND_Z|linsvm,20560864,0.4726684137505781,0.4769406945759651,0.480083857442348,0.5225043493580568,0.5056090202382788
M1|all3|D_SUBJ_BAND_Z|linsvm,20560865,0.4921447290184765,0.4803342949635535,0.4832285115303983,0.4998304300909511,0.49439318196833226
M1|all3|D_SUBJ_BAND_Z|linsvm,20560866,0.5235570041181263,0.5178268625162412,0.519916142557652,0.5355678389746525,0.5233852320024664
M1|all3|D_SUBJ_BAND_Z|linsvm,20560867,0.4801338941619503,0.4793322909555374,0.48218029350104824,0.5196018410447267,0.5072254398907705
