unit,fold,fold_protocol,arm,arch,E,mode,control,alff_mode,seed,status,verdict,head,head_ema,probe_honest,probe_old_full,svm_tr_enc,svm_tr_full,fused_auc,alpha_selected,delta_vs_svm_tr_enc,delta_vs_svm_tr_full,movement_max,clip_rate,best_epoch,total_steps,ema_delta,ocread_entropy,n_tr_enc,n_tr_probe,policy_hash,wall_s,node
ctrl_A4_C-PERM_signed_plain_s1,site1,site,A4,WGIN,signed,plain,C-PERM,z,20260819,OK,OVERFIT,0.4757622285588945,0.4463698179425313,0.5049352928273745,0.4806975213862689,0.4890326826058346,0.4679754332090371,,,,,0.09737179428339005,0.0763888888888889,49,1584,-0.029392410616363218,nan,610,153,798ed7790c1ddabc,724.8,node14.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s1,site2,site,A4,WGIN,signed,plain,C-PERM,z,20260819,OK,OVERFIT,0.5088874259381172,0.4750932631116963,0.5160193109501865,0.5402677199912224,0.5810840465218344,0.597651964011411,,,,,0.09643659740686417,0.078125,46,1536,-0.03379416282642089,nan,610,153,798ed7790c1ddabc,637.1,node14.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s2,lab0,lab,A4,WGIN,signed,plain,C-PERM,z,20260820,OK,OVERFIT,0.4361018826135105,0.4528239202657808,0.5697674418604651,0.4918050941306755,0.43720930232558136,0.48848283499446293,,,,,0.08719030022621155,0.07623626373626374,41,1456,0.01672203765227026,nan,610,153,798ed7790c1ddabc,562.8,node09.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s2,lab1,lab,A4,WGIN,signed,plain,C-PERM,z,20260820,OK,OVERFIT,0.44789601233751924,0.4336858338841154,0.5211500330469266,0.4534038334434898,0.46276712932363956,0.4502092972020269,,,,,0.08192509412765503,0.06390449438202248,39,1424,-0.014210178453403832,nan,610,153,798ed7790c1ddabc,472.5,node09.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s2,lab2,lab,A4,WGIN,signed,plain,C-PERM,z,20260820,OK,OVERFIT,0.41158267020335987,0.4406498673740053,0.5009946949602122,0.5191202475685235,0.46374889478337755,0.4848585322723254,,,,,0.009926843456923962,0.06484375,11,1280,0.02906719717064543,nan,610,153,798ed7790c1ddabc,887.4,node09.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s2,loso0,loso,A4,WGIN,signed,plain,C-PERM,z,20260820,OK,OVERFIT,0.4256410256410256,0.5282051282051282,0.4307692307692308,0.358974358974359,0.441025641025641,0.49743589743589745,,,,,0.117156021296978,0.07451797811360084,51,1919,0.10256410256410259,nan,740,186,798ed7790c1ddabc,625.5,node09.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s2,loso1,loso,A4,WGIN,signed,plain,C-PERM,z,20260820,OK,UNDERFIT,0.3333333333333333,0.3466666666666667,0.52,0.5333333333333333,0.7600000000000001,0.6133333333333333,,,,,0.0005886123981326818,0.0625,1,1520,0.013333333333333364,nan,747,187,798ed7790c1ddabc,1261.2,node09.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s2,loso2,loso,A4,WGIN,signed,plain,C-PERM,z,20260820,OK,OVERFIT,0.4398496240601504,0.4022556390977444,0.48120300751879697,0.4962406015037594,0.5883458646616542,0.4962406015037594,,,,,0.0798029825091362,0.05989110707803993,37,1653,-0.03759398496240596,nan,725,182,798ed7790c1ddabc,913.9,node09.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s2,site0,site,A4,WGIN,signed,plain,C-PERM,z,20260820,OK,OVERFIT,0.4572527472527472,0.5171428571428571,0.5327472527472528,0.44021978021978025,0.45571428571428574,0.46604395604395604,,,,,0.04146810993552208,0.06640625,25,1280,0.0598901098901099,nan,610,153,798ed7790c1ddabc,786.2,node09.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s2,site1,site,A4,WGIN,signed,plain,C-PERM,z,20260820,OK,OVERFIT,0.48036850186444396,0.38396578196973025,0.5163413029173064,0.494626014476859,0.4890326826058346,0.4679754332090371,,,,,0.06535815447568893,0.06626506024096386,33,1328,-0.09640271989471372,nan,610,153,798ed7790c1ddabc,773.8,node09.cognition.gla.alces.network
