id,site,r_m1_old,r_m2_old,r_m1_m2
Leuven_2_0050756,LEUVEN_2,0.7243949567190417,0.6172355035951939,0.8325962464358838
Leuven_2_0050757,LEUVEN_2,0.668474711063548,0.5986550340324073,0.8137362762683591
MaxMun_a_0051318,MAX_MUN,0.647230143604396,0.4868654252480823,0.6790929942286228
MaxMun_a_0051319,MAX_MUN,0.7603452355896411,0.5552569205946644,0.672263999161921
MaxMun_a_0051320,MAX_MUN,0.7133873612185057,0.5039717491300997,0.5539202238687901
MaxMun_a_0051321,MAX_MUN,0.7581665617180509,0.4580127655287395,0.5127029901909266
MaxMun_a_0051362,MAX_MUN,0.6723518918773458,0.49499671760196096,0.4778695452938795
MaxMun_a_0051363,MAX_MUN,0.7918636108544479,0.6040715853924046,0.7105167316814236
MaxMun_a_0051364,MAX_MUN,0.6952106770693015,0.5025174093177378,0.7012353050278005
MaxMun_a_0051365,MAX_MUN,0.7209829841734089,0.6922636718469278,0.8752579213531669
MaxMun_a_0051369,MAX_MUN,0.6378787259279437,0.4775092920387162,0.48835528109790305
MaxMun_a_0051370,MAX_MUN,0.6045271472892136,0.5102641096109014,0.6354992023883619
MaxMun_a_0051373,MAX_MUN,0.6109027387828933,0.156539724346323,0.3165084308595667
MaxMun_a_0051606,MAX_MUN,0.7333138006085367,0.5875698956335011,0.6663423851581987
MaxMun_a_0051607,MAX_MUN,0.5707608638583705,0.5395009047420485,0.7855875520715258
MaxMun_b_0051322,MAX_MUN,0.6392701230238739,0.5364918888659554,0.7895279709459359
MaxMun_b_0051323,MAX_MUN,0.6721141829443716,0.449911897325959,0.4954729881528495
MaxMun_b_0051324,MAX_MUN,0.8834073916160042,0.4958271716270419,0.5076974312676047
MaxMun_b_0051325,MAX_MUN,0.6797993166147993,0.4549129992442101,0.5673869193994433
MaxMun_b_0051326,MAX_MUN,0.8831323486728181,0.6448881466577855,0.7210564935378022
MaxMun_b_0051327,MAX_MUN,0.8214916455564246,0.47563387755620057,0.5869699605667141
MaxMun_c_0051328,MAX_MUN,0.7032113032501223,0.4336222276582203,0.6099690560787054
MaxMun_c_0051332,MAX_MUN,0.7840376334023356,0.5413147949996633,0.6181396573694787
MaxMun_c_0051333,MAX_MUN,0.7450002687994844,0.35228300636492227,0.4909519508856451
MaxMun_c_0051334,MAX_MUN,0.6767815734438194,0.42485422866559985,0.6539501331127497
MaxMun_c_0051335,MAX_MUN,0.7131175542829752,0.45031150765947614,0.3856053023164394
MaxMun_c_0051336,MAX_MUN,0.8841551763529739,0.690610320506188,0.798754297738049
MaxMun_c_0051338,MAX_MUN,0.7508875507122027,0.4905508543331456,0.6728508194938218
MaxMun_c_0051339,MAX_MUN,0.6623386279450022,0.35542379883508474,0.4790350344411557
MaxMun_c_0051340,MAX_MUN,0.7563422976022359,0.44440700832298996,0.5255300072194335
MaxMun_c_0051341,MAX_MUN,0.7323200306496543,0.3153477529938687,0.6176118436092719
MaxMun_c_0051342,MAX_MUN,0.7047054655367144,0.39339196488918116,0.5090303963290983
MaxMun_c_0051343,MAX_MUN,0.780260965719875,0.5559511762936353,0.7238266036975707
MaxMun_c_0051344,MAX_MUN,0.8600934731234925,0.7753187685267879,0.8650582701851467
MaxMun_c_0051345,MAX_MUN,0.6930397676944223,0.4482517857536784,0.6298324449099149
MaxMun_c_0051346,MAX_MUN,0.684417287134338,0.36594570041150815,0.5547067490455785
MaxMun_c_0051347,MAX_MUN,0.9117090368533358,0.7707188294168043,0.828825134333002
MaxMun_c_0051348,MAX_MUN,0.8064965661473401,0.6105866869211151,0.7334344677423621
MaxMun_d_0051329,MAX_MUN,0.6811837313087141,0.4615657092714937,0.7204732794562584
MaxMun_d_0051330,MAX_MUN,0.7003594637937847,0.4960170329287616,0.6658055354398943
MaxMun_d_0051331,MAX_MUN,0.6932519097205367,0.5401604960889015,0.827600098853992
MaxMun_d_0051349,MAX_MUN,0.7067762068767603,0.6243230479118004,0.8235608308468426
MaxMun_d_0051350,MAX_MUN,0.6709578969915634,0.49127517844949214,0.7445136186582265
MaxMun_d_0051351,MAX_MUN,0.7636392382244619,0.6520591734517581,0.8528203737874278
MaxMun_d_0051352,MAX_MUN,0.722348432646505,0.45582240657562245,0.751106974477869
MaxMun_d_0051354,MAX_MUN,0.7025154032030972,0.5287862517161864,0.8421919209096215
MaxMun_d_0051355,MAX_MUN,0.8303522474393004,0.7645889135600444,0.8906583872196913
MaxMun_d_0051356,MAX_MUN,0.8413653554998995,0.6545257731786068,0.8027714633529124
MaxMun_d_0051357,MAX_MUN,0.8739891598278049,0.7539948995404355,0.8769379581986492
MaxMun_d_0051360,MAX_MUN,0.71958458119179,0.4442507253702718,0.659866016852889
MaxMun_d_0051361,MAX_MUN,0.777107925791368,0.5253822807049944,0.703893183877866
NYU_0050952,NYU,0.7429242797418727,0.631438112698575,0.8963704658463605
NYU_0050954,NYU,0.7597181373546465,0.7108862131434395,0.7654729295472572
NYU_0050955,NYU,0.6847803925185959,0.689673400190356,0.7971808986024702
NYU_0050956,NYU,0.6523192731432301,0.5889498498204527,0.7612888927237396
NYU_0050957,NYU,0.7822416065920571,0.623759812418663,0.732115929970261
NYU_0050958,NYU,0.621908224828079,0.5744128605526289,0.7830277714526038
NYU_0050959,NYU,0.8674815338698529,0.810932563436485,0.8863767664807788
NYU_0050960,NYU,0.7061264918325904,0.5311992609500221,0.7225180536483984
NYU_0050961,NYU,0.7416341046195223,0.6503378894920404,0.7300114429912765
NYU_0050962,NYU,0.6887384022729238,0.6267093231546165,0.8666475555687561
NYU_0050964,NYU,0.5944223421348398,0.394296098778886,0.7339226746492066
NYU_0050965,NYU,0.7436296048387194,0.6277808027412192,0.8297032305668189
NYU_0050966,NYU,0.6737427276648952,0.5569011104979995,0.764188137648013
NYU_0050967,NYU,0.6864885064324707,0.5678835143383816,0.7777025132127472
